Name,Target Area,Target Muscle,Exercise Category,Difficulty,Push Pull Stretch Aerobic,"Equipment Type( gym, home , specific )",Location,Url
Jogging,Full Body,Lungs,Aerobic,Beginner ,Aerobic,"machine, none",Both,https://www.youtube.com/embed/wpwl-Ga-2g4
Running,Full Body,Lungs,Aerobic,Beginner ,Aerobic,"machine, none",Both,https://www.youtube.com/embed/_kGESn8ArrU
Sprinting ,Full Body,Lungs,Aerobic,Beginner ,Aerobic,"machine, none",Both,https://www.youtube.com/embed/-Ot-dP1xST4
Swimming,Full Body,Lungs,Aerobic,Beginner ,Aerobic,pool,Both,https://www.youtube.com/embed/7SQkRWm6jW8
Biking,Full Body,Lungs,Aerobic,Beginner ,Aerobic,bike,Special,https://www.youtube.com/embed/S0nRkf5wU5U
Stairmaster,Full Body,Lungs,Aerobic,Beginner ,Aerobic,machine,Gym,https://www.youtube.com/embed/xSB39wbMz4w
Jump Rope,Full Body,Lungs,Aerobic,Beginner ,Aerobic,jump rope,Both,https://www.youtube.com/embed/u3zgHI8QnqE
Rowing,Full Body,Lungs,Aerobic,Beginner ,Pull,machine,Gym,https://www.youtube.com/embed/ZN0J6qKCIrI
Knees to Chest,Lower Body,Hamstrings,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/8kzfXDNq_P8
Standing Quad Stretch,Lower Body,Quadriceps,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/JwaniMkYBCc
Forward Lunge,Lower Body,Quadriceps,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/mUf28ZDa5tg
"Side Lunge
",Lower Body,Hamstrings,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/liFeq7swKfc
Cross-Over,Lower Body,Hamstrings,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/nqdJnBuYMP0
Seat Straddle Lotus,Lower Body,Hamstrings,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/IswHRo0mrpI
Piriformis Stretch,Lower Body,Glutes,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/4UoITjubrgE
Figure Four Stretch,Lower Body,Glutes,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/E6sqUHFt6Ng
Tricep Stretch,Upper Body,Tricep,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/SaZK9vlSmHI
Frog Stretch,Lower Body,Hamstrings,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/dUuZLrUOmhU
Butterfly Stretch,Lower Body,Hamstrings,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/MdE_Cj6ChLo
Side Bend Stretch,Lower Body,Abdominals ,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/Pt53akW3zSg
Pectoral Stretch,Upper Body,Chest,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/SR5JeNEYneY
Lying Quad Stretch,Lower Body,Quadriceps,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/98I9C78aBZg
Pigeon Pose ,Lower Body,Glutes,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/M1gEGLtF1p0
Pretzel Stretch,Lower Body,Glutes,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/oO5l4D1kg8E
Downward Dog,Full Body,Lower Back,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/YqOqM79McYY
Cat Cow,Full Body,Lower Back,Flexibility ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/kqnua4rHVVA
Plank,Full Body,Abdominals ,Strength ,Beginner,Stretch,bodyweight,Both,https://www.youtube.com/embed/F-nQ_KJgfCY
Side Plank,Full Body,Abdominals ,Strength ,Intermediate,Stretch,bodyweight,Both,https://www.youtube.com/embed/XeN4pEZZJNI
Elephant Walk,Lower Body,Quadriceps,Flexibility ,Beginner ,Stretch,bodyweight,Both,https://www.youtube.com/embed/MsUTFi24Iq4
Bird Dog,Upper Body,Upper Back,Flexibility ,Intermediate,Stretch,bodyweight,Both,https://www.youtube.com/embed/wiFNA3sqjCA
Chest Fly,Upper Body,Chest,Strength,Advanced,Pull,,Both,https://www.youtube.com/embed/QENKPHhQVi4
Suitcase Carry,Upper Body,Bicep,Strength,Advanced,Push,,Both,https://www.youtube.com/embed/byBxlMhgggc
Shrugs,Upper Body,Upper Back,Strength,Advanced,Pull,,Gym,https://www.youtube.com/embed/C6sYjDFuq9I
Waiter Carry,Upper Body,Shoulders,Strength,Advanced,Push,,Both,https://www.youtube.com/embed/wrxIk5pscUs
Bottom Ups,Upper Body,Shoulders,Strength,Advanced,Push,,Both,https://www.youtube.com/embed/UpBzi0HIdAI
Bulgarian Split Squat,Lower Body,Quadriceps,Strength,Advanced,Pull,,Both,https://www.youtube.com/embed/HBYGeyb4sSM
Clean and Press,Upper Body,Shoulders,Strength,Advanced,Push,,Gym,https://www.youtube.com/embed/KCe8l86-alA
Turkish Getup,Full Body,Shoulders,Strength,Advanced,Push,,Gym,https://www.youtube.com/embed/jgKFttG0Z7I
Wood-Chop,Upper Body,Shoulders,Strength,Advanced,Pull,,Gym,https://www.youtube.com/embed/b65s5BtdOEc
Power Clean,Upper Body,Upper Back,Strength,Advanced,Pull,,Gym,https://www.youtube.com/embed/5vVSGITznQk
Push-Press,Upper Body,Upper Back,Strength,Advanced,Push,,Gym,https://www.youtube.com/embed/i_1Sl4yHj44
Overhead Squat,Full Body,Quadriceps,Strength,Advanced,Push,,Gym,https://www.youtube.com/embed/TUtBNkk_lio
Snatch,Full Body,Bicep,Strength,Advanced,Push,,Gym,https://www.youtube.com/embed/VMaBfcRprAU
Farmers Carry,Full Body,Bicep,Strength,Advanced,Push,,Gym,https://www.youtube.com/embed/rt17lmnaLSM
Jefferson Curl,Full Body,Upper Back,Strength,Advanced,Pull,,Gym,https://www.youtube.com/embed/y_APeWo643w
Sled Push,Full Body,Quadriceps,Strength,Advanced,Push,,Gym,https://www.youtube.com/embed/9XRRXaUpnLk
Sled Pull,Full Body,Quadriceps,Strength,Advanced,Pull,,Gym,https://www.youtube.com/embed/gO1Mx0KtHRc
